#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,la_C-026,la_nHAcc,C-041,la_AMW,AMW,la_Mv,nPyrroles,TPSA(NO),la_Me,nRSR,nCt,nHDon,C-035,nPyridines,C-006,Total_MW,nCIR,la_nH,nBT,nR=Cs,la_Mp,nRNHR,nRCONR2,C-020,nCrt,RBN,C-033,nRNH2,Ui,nArNH2,H-051,nC,nR=Ct,nPyrazines,nCL,F-085,C-002,H-047,nBnz,ALOGP,AMR,nR08,nR12,nR09,C-005,C-027,C-028,C-019,C-016,la_nBT,la_H-050,la_Hy,la_nCL,la_nBO,la_F-084,la_nX,la_nSK,MW,la_nBnz,la_ARR,la_nC,la_nHM,la_MLOGP,la_Ms,la_nAT,la_nAB,la_nBM
3,6,C7H8N2O2S:BH3,-0.22192,1,2,0,0,1,3.46,9.21,0.42,0,44.0,0.91,0,0,0,0,0,0,198.08,1,3,20,0,0.72,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,3,3,0.0,0,0,0,0,1,184.24,0,0.0,0,0,-1.041,2.0,4,0,0
3,7,C7H8N2O2S:BF3,0.00218,1,2,0,3,1,16.95,9.21,0.51,0,44.0,1.3,0,0,0,0,0,0,252.05,1,0,20,0,0.67,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,3,0,0.0,0,3,0,3,4,184.24,0,0.0,0,0,0.546,6.33,4,0,0
3,8,C7H8N2O2S:BCl3,-0.0014,1,2,0,0,1,29.29,9.21,0.95,0,44.0,1.16,0,0,0,0,0,0,301.4,1,0,20,0,1.36,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,3,0,0.0,3,3,0,3,4,184.24,0,0.0,0,0,1.364,3.42,4,0,0
3,11,C7H8N2O2S:BI3,0.01072,1,2,0,0,1,97.88,9.21,1.49,0,44.0,0.97,0,0,0,0,0,0,575.75,1,0,20,0,2.71,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,3,0,0.0,0,3,0,3,4,184.24,0,0.0,0,0,2.604,1.92,4,0,0
4,1,C10H16N2O2:AlCl3,-0.13576,0,2,0,0,0,33.33,6.54,1.16,0,40.62,1.1,0,2,0,0,0,0,329.61,3,0,31,0,1.89,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,0,0.0,3,3,0,3,4,196.28,0,0.0,0,1,1.364,3.28,4,0,0
4,2,C10H16N2O2:AlH3,-0.10774,0,2,0,0,0,7.5,6.54,0.63,0,40.62,0.86,0,2,0,0,0,0,226.29,3,3,31,0,1.25,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,3,0.0,0,0,0,0,1,196.28,0,0.0,0,1,-1.041,2.0,4,0,0
4,3,C10H16N2O2:C18F15Al,-0.13932,0,2,15,15,0,15.53,6.54,0.76,0,40.62,1.19,0,2,0,0,0,0,724.44,3,0,31,0,0.78,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,36,0,-0.525,0,36,15,15,34,196.28,3,0.5,18,1,7.875,4.43,34,18,18
4,4,C10H16N2O2:C3H9Al,-0.08454,0,2,0,0,0,5.55,6.54,0.56,0,40.62,0.93,0,2,0,0,0,0,268.38,3,9,31,0,0.79,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,12,0,-0.646,0,3,0,0,4,196.28,0,0.0,3,1,1.364,1.69,13,0,0
4,5,C10H16N2O2:C2H5AlCl2,-0.12194,0,2,0,0,0,12.7,6.54,0.71,0,40.62,0.99,0,2,0,0,0,0,323.23,3,5,31,0,1.02,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,9,0,-0.359,2,4,0,2,5,196.28,0,0.0,2,1,1.817,2.5,10,0,0
4,6,C10H16N2O2:BH3,-0.28116,1,2,0,0,0,3.46,6.54,0.42,0,40.62,0.91,0,2,0,0,0,0,210.12,3,3,31,0,0.72,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,3,0.0,0,0,0,0,1,196.28,0,0.0,0,0,-1.041,2.0,4,0,0
4,7,C10H16N2O2:BF3,-0.21876,1,2,0,3,0,16.95,6.54,0.51,0,40.62,1.3,0,2,0,0,0,0,264.09,3,0,31,0,0.67,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,0,0.0,0,3,0,3,4,196.28,0,0.0,0,0,0.546,6.33,4,0,0
4,8,C10H16N2O2:BCl3,-0.28102,1,2,0,0,0,29.29,6.54,0.95,0,40.62,1.16,0,2,0,0,0,0,313.44,3,0,31,0,1.36,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,0,0.0,3,3,0,3,4,196.28,0,0.0,0,0,1.364,3.42,4,0,0
4,9,C10H16N2O2:BBr3,-0.27182,1,2,0,0,0,62.63,6.54,1.24,0,40.62,1.09,0,2,0,0,0,0,446.79,3,0,31,0,1.73,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,0,0.0,0,3,0,3,4,196.28,0,0.0,0,0,2.026,2.4,4,0,0
4,10,C10H16N2O2:C18BF15,-0.30786,1,2,18,15,0,15.06,6.54,0.73,0,40.62,1.2,0,2,0,0,0,0,708.27,3,0,31,0,0.72,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,36,0,-0.525,0,36,15,15,34,196.28,3,0.5,18,0,7.875,4.45,34,18,18
4,11,C10H16N2O2:BI3,-0.23758,1,2,0,0,0,97.88,6.54,1.49,0,40.62,0.97,0,2,0,0,0,0,587.79,3,0,31,0,2.71,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,3,0,0.0,0,3,0,3,4,196.28,0,0.0,0,0,2.604,1.92,4,0,0
4,12,C10H16N2O2:O2S,-0.07768,0,2,0,2,0,21.36,6.54,0.7,0,40.62,1.24,0,2,0,0,0,0,260.35,3,0,31,0,0.85,0,2,0,2,0,0,0,1.585,0,2,10,0,0,0,0,0,8,0,-0.576,51.78,1,0,0,2,0,0,0,0,2,0,0.0,0,2,0,0,3,196.28,0,0.0,0,0,-2.379,5.28,3,0,2
5,1,C9H9N3OS:AlCl3,-0.11056,0,1,0,0,0,33.33,9.01,1.16,0,67.89,1.1,1,1,0,0,0,0,340.61,1,0,23,1,1.89,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,0,0.0,3,3,0,3,4,207.28,0,0.0,0,1,1.364,3.28,4,0,0
5,2,C9H9N3OS:AlH3,-0.1036,0,1,0,0,0,7.5,9.01,0.63,0,67.89,0.86,1,1,0,0,0,0,237.29,1,3,23,1,1.25,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,3,0.0,0,0,0,0,1,207.28,0,0.0,0,1,-1.041,2.0,4,0,0
5,3,C9H9N3OS:C18F15Al,-0.11854,0,1,15,15,0,15.53,9.01,0.76,0,67.89,1.19,1,1,0,0,0,0,735.44,1,0,23,1,0.78,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,36,0,-0.525,0,36,15,15,34,207.28,3,0.5,18,1,7.875,4.43,34,18,18
5,4,C9H9N3OS:C3H9Al,-0.09272,0,1,0,0,0,5.55,9.01,0.56,0,67.89,0.93,1,1,0,0,0,0,279.38,1,9,23,1,0.79,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,12,0,-0.646,0,3,0,0,4,207.28,0,0.0,3,1,1.364,1.69,13,0,0
5,5,C9H9N3OS:C2H5AlCl2,-0.1039,0,1,0,0,0,12.7,9.01,0.71,0,67.89,0.99,1,1,0,0,0,0,334.23,1,5,23,1,1.02,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,9,0,-0.359,2,4,0,2,5,207.28,0,0.0,2,1,1.817,2.5,10,0,0
5,6,C9H9N3OS:BH3,-0.28864,1,1,0,0,0,3.46,9.01,0.42,0,67.89,0.91,1,1,0,0,0,0,221.12,1,3,23,1,0.72,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,3,0.0,0,0,0,0,1,207.28,0,0.0,0,0,-1.041,2.0,4,0,0
5,7,C9H9N3OS:BF3,-0.23164,1,1,0,3,0,16.95,9.01,0.51,0,67.89,1.3,1,1,0,0,0,0,275.09,1,0,23,1,0.67,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,0,0.0,0,3,0,3,4,207.28,0,0.0,0,0,0.546,6.33,4,0,0
5,8,C9H9N3OS:BCl3,-0.23578,1,1,0,0,0,29.29,9.01,0.95,0,67.89,1.16,1,1,0,0,0,0,324.44,1,0,23,1,1.36,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,0,0.0,3,3,0,3,4,207.28,0,0.0,0,0,1.364,3.42,4,0,0
5,9,C9H9N3OS:BBr3,-0.20826,1,1,0,0,0,62.63,9.01,1.24,0,67.89,1.09,1,1,0,0,0,0,457.79,1,0,23,1,1.73,0,1,0,0,2,0,0,2.322,0,1,9,0,0,0,0,0,7,0,0.772,53.673,0,0,0,1,0,0,0,1,3,0,0.0,0,3,0,3,4,207.28,0,0.0,0,0,2.026,2.4,4,0,0
