#LB_label,#LA_label,#ID,ChargeTransfer,la_Me,la_nB,nO,la_nHM,la_Ui,la_nHAcc,la_AMW,C-041,AMW,nPyrroles,la_Mv,TPSA(NO),la_nF,nRSR,nCt,nHDon,C-033,nPyridines,C-006,la_nX,la_Ms,H-051,nX,la_MW,la_Mp,la_nAB,nF,C-027,nPyrazines,la_C-026,nCIC,ARR,H-049,nArNH2,nH,RBF,la_F-084,nRCO,nCrt,Total_MW,la_nBM,la_nBnz,la_LAI,la_ARR,la_RBF
5,4,C9H9N3OS:C3H9Al,-0.09272,0.93,0,1,1,0.0,0,5.55,0,9.01,0,0.56,67.89,0,1,1,0,0,0,0,0,1.69,1,0,72.1,0.79,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,279.38,0,0,0,0.0,0.0
5,5,C9H9N3OS:C2H5AlCl2,-0.1039,0.99,0,1,1,0.0,0,12.7,0,9.01,0,0.71,67.89,0,1,1,0,0,0,0,2,2.5,1,0,126.95,1.02,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,334.23,0,0,0,0.0,0.0
5,6,C9H9N3OS:BH3,-0.28864,0.91,1,1,0,0.0,0,3.46,0,9.01,0,0.42,67.89,0,1,1,0,0,0,0,0,2.0,1,0,13.84,0.72,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,221.12,0,0,0,0.0,0.0
5,7,C9H9N3OS:BF3,-0.23164,1.3,1,1,0,0.0,3,16.95,0,9.01,0,0.51,67.89,3,1,1,0,0,0,0,3,6.33,1,0,67.81,0.67,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,275.09,0,0,0,0.0,0.0
5,8,C9H9N3OS:BCl3,-0.23578,1.16,1,1,0,0.0,0,29.29,0,9.01,0,0.95,67.89,0,1,1,0,0,0,0,3,3.42,1,0,117.16,1.36,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,324.44,0,0,0,0.0,0.0
5,9,C9H9N3OS:BBr3,-0.20826,1.09,1,1,0,0.0,0,62.63,0,9.01,0,1.24,67.89,0,1,1,0,0,0,0,3,2.4,1,0,250.51,1.73,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,457.79,0,0,0,0.0,0.0
5,11,C9H9N3OS:BI3,-0.15244,0.97,1,1,0,0.0,0,97.88,0,9.01,0,1.49,67.89,0,1,1,0,0,0,0,3,1.92,1,0,391.51,2.71,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,598.79,0,0,0,0.0,0.0
6,1,C5H5NO2S:AlCl3,-0.10348,1.1,0,2,1,0.0,0,33.33,1,10.23,0,1.16,39.07,0,0,0,0,0,0,0,3,3.28,0,0,133.33,1.89,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,276.51,0,0,0,0.0,0.0
6,2,C5H5NO2S:AlH3,-0.0668,0.86,0,2,1,0.0,0,7.5,1,10.23,0,0.63,39.07,0,0,0,0,0,0,0,0,2.0,0,0,30.01,1.25,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,173.19,0,0,0,0.0,0.0
6,3,C5H5NO2S:C18F15Al,-0.09806,1.19,0,2,1,4.248,15,15.53,1,10.23,0,0.76,39.07,15,0,0,0,0,0,0,15,4.43,0,0,528.16,0.78,18,0,0,0,15,1,0.0,0,0,5,0.0,15,0,0,671.34,18,3,1,0.5,0.083
