#LB_label,ChargeTransfer,MW,AMW,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nAB,nH,nC,nN,nO,nS,nF,nCL,nX,nR05,nR06,nR08,nR09,nR10,nR12,nBnz,nCp,nCs,nCt,nCq,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCONHR,nRCONR2,nROCON,nRCO,nArCO,nCONN,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nRCN,nN(CO)2,nRSR,nArX,nCXr=,nCconjX,nPyrrolidines,nPyrroles,nThiophenes,nPyridines,nPyrazines,nHDon,nHAcc,C-001,C-002,C-005,C-006,C-008,C-016,C-018,C-019,C-020,C-024,C-025,C-026,C-027,C-028,C-033,C-034,C-035,C-040,C-041,H-046,H-047,H-048,H-049,H-051,H-052,N-072,N-075,F-084,F-085,S-107,S-108,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
22,-0.05116,27.03,9.01,0.66,1.03,0.67,5,3,2,2,1,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.315,7.031,23.79,23.79,-0.959,-0.002
23,-0.20008,41.06,6.84,0.6,1,0.63,3.5,6,3,5,2,1,4,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,-0.528,11.623,23.79,23.79,-0.317,0.045
24,-0.27408,81.09,9.01,0.66,1.03,0.67,2.5,9,6,9,6,6,9,1,1,1,0,0,0,6,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2.807,-0.46,22.618,38.67,38.67,0.325,-0.054
25,-0.28486,93.14,6.65,0.63,0.98,0.66,2.24,14,7,14,7,6,10,0.857,1,1,0,0,0,6,7,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2.807,0.85,30.758,26.02,26.02,1.506,1.083
26,-0.27186,129.12,9.22,0.64,1.06,0.65,3.44,14,9,14,9,6,12,0.667,1,1,0,0,0,6,5,6,1,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2.807,0.843,31.191,26.02,26.02,2.395,1.494
27,-0.28852,121.2,6.06,0.6,0.98,0.64,2.11,20,9,20,9,6,12,0.667,1,1,0,0,0,6,11,8,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,2.807,0.63,40.841,26.02,26.02,2.193,2.056
28,-0.28844,130.16,8.13,0.7,1,0.72,2.13,16,10,17,11,11,16.5,1,2,3,0,0,0,11,6,8,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,3.585,-0.768,37.45,25.78,25.78,0.868,1.294
29,-0.29434,158.22,7.19,0.65,0.99,0.68,2.06,22,12,23,13,11,18.5,0.846,2,3,0,0,0,11,10,10,2,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,6,2,0,2,0,0,0,2,0,0,0,0,3.585,-0.807,47.533,25.78,25.78,1.488,2.267
30,-0.28338,166.14,10.38,0.71,1.06,0.71,3.06,16,12,17,13,11,18.5,0.846,2,3,0,0,0,11,4,8,2,0,0,2,0,2,0,2,0,0,1,0,1,0,0,0,0,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,3.585,-0.646,37.883,25.78,25.78,1.721,1.705
31,-0.00152,185.27,8.06,0.61,1.01,0.67,2.56,23,12,24,13,2,15,0,2,3,0,0,2,0,11,8,1,2,1,0,0,0,1,1,0,1,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,0,0,1,1,1,0,0,0,1,0,1.585,-0.083,46.536,46.17,71.47,0.725,0.642
