#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,37.84549965,1175.984752
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,39.33380581,1174.07878
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,42.31041814,1172.172808
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,45.07441531,1170.266836
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,47.41318214,1168.360864
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,51.24025514,1166.454892
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,53.3664068,1164.54892
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,56.98086464,1162.642948
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,60.3827073,1160.736976
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,66.97377746,1158.831004
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,73.56484763,1156.925032
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,74.41530829,1155.01906
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,78.45499646,1153.113088
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,82.49468462,1151.207116
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,93.40007087,1149.301144
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,104.6066619,1145.489199
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,106.9454288,1143.583227
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,109.4968108,1141.677255
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,117.5761871,1139.771283
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,128.8447909,1135.959339
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,139.5441348,1132.147395
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,160.0992204,1130.241423
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,174.1318214,1128.335451
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,186.9345896,1126.429479
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,200.7087172,1122.617535
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,210.2763997,1120.711563
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,219.8440822,1118.805591
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,229.4117647,1116.899619
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,252.5868179,1113.087675
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,271.0843373,1111.181703
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,277.9460086,1109.275731
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,287.6683203,1107.369759
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,297.0233877,1105.463787
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,315.5209072,1103.557814
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,336.0417,1099.74587
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,345.7122608,1097.839898
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,355.7051736,1095.933926
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,374.2026931,1094.027954
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,385.6839121,1092.121982
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,393.3380581,1090.21601
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,402.6931254,1088.310038
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,413.9617293,1086.404066
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,432.4592488,1084.498094
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,442.2395464,1082.592122
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,451.8072289,1080.68615
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,472.4309001,1076.874206
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,490.9284196,1074.968234
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,498.1573352,1073.062262
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,1.063075833,1086.404066
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,1.700921332,1084.815756
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,2.338766832,1080.050826
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,2.976612332,1075.285896
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,3.614457831,1072.109276
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,4.252303331,1068.932656
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,4.677533664,1065.756036
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,5.52799433,1060.991105
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,6.378454996,1054.637865
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,6.80368533,1053.049555
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,7.441530829,1049.872935
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,8.079376329,1046.696315
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,8.504606662,1045.108005
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,9.142452162,1041.931385
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,9.992912828,1038.754765
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,10.63075833,1037.166455
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,11.26860383,1033.989835
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,11.90644933,1032.401525
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,12.33167966,1030.813215
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,12.75690999,1029.224905
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,13.18214033,1027.636595
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,13.81998583,1026.048285
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,14.67044649,1022.871665
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,15.30829199,1018.106734
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,15.73352232,1016.518424
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,16.15875266,1014.930114
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,16.79659816,1011.753494
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,17.43444366,1010.165184
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,17.85967399,1008.576874
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,18.49751949,1006.988564
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,19.56059532,1003.811944
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,20.62367116,1000.635324
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,21.26151665,999.047014
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,21.89936215,997.4587039
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,23.38766832,995.8703939
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,25.08858965,992.6937738
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,26.15166549,991.1054638
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,27.21474132,989.5171537
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,29.34089298,987.9288437
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,32.10489015,984.7522236
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,35.08150248,981.5756036
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,38.27072998,979.9872935
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,40.18426648,978.3989835
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,41.88518781,976.8106734
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,43.37349398,975.2223634
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,45.71226081,973.6340534
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,49.96456414,972.0457433
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,52.51594614,970.4574333
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,57.1934798,968.8691233
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,67.18639263,965.6925032
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,73.56484763,962.5158831
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,78.45499646,960.9275731
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,83.34514529,959.339263
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,102.2678951,957.750953
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,124.8051028,954.5743329
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,130.3330971,952.9860229
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,136.2863218,951.3977128
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,147.2360028,949.8094028
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,159.0361446,946.6327827
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,170.0921332,943.4561626
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,181.3607371,941.8678526
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,187.3139617,940.2795426
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,193.0545712,938.6912325
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,204.1105599,935.5146125
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,213.0403969,933.9263024
datasheet_32.pdf,1050,3.7,4.2,1050,2.75,1050,217.7179305,932.3379924
