#PDF_File,c,a,f,f_f,Minimum_Capacity(mAh)_f,a_a,f_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh),Minimum_Capacity(mAh)_a_Minimum_Capacity(mAh)_a,a_f_a_f,a_f_f,a_Minimum_Capacity(mAh)_f,f_Minimum_Capacity(mAh)_Minimum_Capacity(mAh),f_f_f,f_Minimum_Capacity(mAh)_a,f_Minimum_Capacity(mAh)_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_f_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_a_f,f_f_Minimum_Capacity(mAh)_a,f_f_Minimum_Capacity(mAh)_f,f_f_a_f,Minimum_Capacity(mAh)_f_a_f
datasheet_4,0.0241,999.9999996,-2.13e-06,4.54e-12,-0.0045795,999999.9992,4.54e-12,21367506250000.0,4622499995699.999,4.5369e-06,4.539999998184e-09,-4.579499998168201,-9.845925,-9.6702e-18,-4.579499997869999,9.754335e-09,2.098615e-05,-21168.73875,-9845.925,9.760999995459998e-06,-2.079093e-14,-9.670199999999998e-15,9.754335e-06
datasheet_5,1.309558813,106.2416034,-8.29e-22,6.870000000000001e-43,-2.28e-18,11287.278293002892,6.870000000000001e-43,57191406250000.0,85360042120.05081,7.761609999999999e-39,7.29879815358e-41,-2.42230855752e-16,-6.2693125e-15,-5.6952300000000006e-64,-2.422042953926e-16,1.89012e-39,5.1954375e-36,-1.72425e-11,-6.6625625e-13,2.0071694925780003e-37,-1.56636e-60,-6.05247e-62,2.00868e-37
datasheet_6,0.461405593,85.70319517,-1.35e-31,1.82e-62,-2.54e-28,7345.037662347111,1.82e-62,12491983360000.0,25960301107.48365,1.3456000000000002e-58,1.559798152094e-60,-2.1768611573179998e-26,-4.771440000000001e-25,-2.4570000000000003e-93,-2.17514709315e-26,3.429e-59,6.432608e-56,-8.977376e-22,-4.0999040000000003e-23,2.93242052558e-57,-4.6228e-90,-2.1112000000000002e-91,2.9464e-57
datasheet_7,0.230462681,75.25978033,-3.93e-30,1.5400000000000001e-59,-3.2200000000000004e-27,5664.034535319855,1.5400000000000001e-59,452121760000.0,3808496821.475014,8.761600000000001e-56,1.1590006170820001e-57,-2.423364926626e-25,-2.642532e-24,-6.052200000000001e-89,-2.4253216808910003e-25,1.26546e-56,1.0354959999999999e-53,-2.165128e-21,-1.990304e-22,9.50380505998e-55,-4.958800000000001e-86,-4.5584e-87,9.5312e-55
datasheet_8,0.199,126.4607078,-1.71e-07,2.92e-14,-0.00021033,15992.31061727698,2.92e-14,2288866410000.0,24194766734.744907,4.6656e-10,3.69265266776e-12,-0.026598480671574,-0.2587059,-4.993199999999999e-21,-0.0265984806726,3.596643e-11,4.417668e-08,-318.208257,-32.67864,4.54196278152e-09,-6.141636e-18,-6.307199999999999e-19,4.543128e-09
datasheet_9,0.336955456,83.98643332,-2.91e-07,8.47e-14,-0.0004074,7053.720981814807,8.47e-14,3841600000000.0,13825293113.069242,5.9536e-10,7.113650902204e-12,-0.034216072934568,-0.57036,-2.4647699999999998e-20,-0.0342160729206,1.185534e-10,1.66012e-07,-798.504,-47.824,9.95911125902e-09,-3.4506780000000006e-17,-2.06668e-18,9.94056e-09
datasheet_30.pdf,0.209909277,117.653624,-3.17e-30,1e-59,-3.87e-27,13842.375240333376,1e-59,2215334560000.0,20602991313.45369,1.3912899999999999e-55,1.17653624e-57,-4.5531952488e-25,-4.7182279999999996e-24,-3.17e-89,-4.55013625521e-25,1.2267900000000002e-56,1.4884e-53,-5.760108000000001e-21,-5.551732e-22,1.435374213e-54,-3.870000000000001e-86,-3.73e-87,1.4435100000000002e-54
datasheet_31.pdf,0.195853204,103.5448592,-4.35e-29,1.89e-57,-5.440000000000001e-26,10721.537866747824,1.89e-57,2441406250000.0,16752402916.793474,2.025e-53,1.95699783888e-55,-5.632840340480001e-24,-6.796875000000001e-23,-8.221500000000001e-86,-5.630251719000001e-24,2.3664000000000003e-54,2.953125e-51,-8.5e-20,-7.03125e-21,2.4462472986e-52,-1.02816e-82,-8.505e-84,2.4480000000000005e-52
datasheet_32.pdf,0.218,110.934426,-2.36e-07,5.57e-14,-0.0002478,12306.446871949476,5.57e-14,1215506250000.0,13567857676.324297,6.8644e-10,6.1790475282e-12,-0.0274895507628,-0.26019,-1.3145199999999998e-20,-0.0274895507627999,5.84808e-11,6.140925e-08,-273.1995,-28.8855,6.48799990461e-09,-1.3802460000000001e-17,-1.4593400000000001e-18,6.49236e-09
datasheet_33.pdf,0.266,46.23044557,-1.45e-25,2.1e-50,-2.1e-22,2137.2540976007326,2.1e-50,4420506250000.0,4493576740.67478,4.488999999999999e-47,9.7083935697e-49,-9.7083935697e-21,-3.0486249999999997e-19,-3.045e-75,-9.7199511816e-21,3.045e-47,4.41525e-44,-4.41525e-16,-1.4086749999999998e-17,1.4077170676799998e-45,-4.4100000000000003e-72,-1.407e-73,1.4069999999999998e-45
datasheet_34.pdf,0.591981621,129.3334906,-3.13e-25,9.8e-50,-1.0300000000000001e-21,16727.151790780288,9.8e-50,115743170560000.0,179957389853.08035,1.6402499999999998e-45,1.2674682078800001e-47,-1.3321349531800005e-19,-3.3673792e-18,-3.0674e-74,-1.327789347996e-19,3.2239000000000004e-46,1.0543232e-42,-1.1081152e-14,-4.357152e-16,4.15729572216e-44,-1.0094e-70,-3.968999999999999e-72,4.1715e-44
datasheet_35.pdf,0.355028478,119.3622195,-2.56e-09,6.55e-18,-5.5e-06,14247.33944396618,6.55e-18,21367506250000.0,65858326566.90223,9.3636e-14,7.81822537725e-16,-0.00065649220725,-0.0118336,-1.6768e-26,-0.000656969656064,1.4079999999999998e-14,3.0277375e-11,-25.42375,-1.414485,1.680918455945e-12,-3.6025e-23,-2.0043e-24,1.683e-12
datasheet_36.pdf,0.873955,72.56246976,-4.37e-27,1.9099999999999999e-53,-1.21e-23,5265.312017670914,1.9099999999999999e-53,59728166560000.0,40692437384.13482,1.00489e-49,1.385943172416e-51,-8.780058840959998e-22,-3.3773107999999997e-20,-8.3467e-80,-8.815324199830001e-22,5.2877e-50,1.4761244000000001e-46,-9.351364e-17,-2.4499027999999996e-18,3.85292201869e-48,-2.3111e-76,-6.054700000000001e-78,3.8357e-48
datasheet_37.pdf,4.08e-15,151.0,-3.48e-08,1.21e-15,-2.3e-05,22801.0,1.21e-15,189747360000.0,9932115600.0,2.75625e-11,1.8271e-13,-0.003473,-0.01515888,-4.2108e-23,-0.003468168,8.004e-13,5.27076e-10,-10.0188,-2.2869,1.205886e-10,-2.783e-20,-6.3524999999999984e-21,1.2075e-10
datasheet_38.pdf,0.111,0.159006629,-2.68e-20,7.1799999999999995e-40,-1.34e-17,0.0252831080659436,7.1799999999999995e-40,62500000000.0,6320.77701648591,1.8147600000000003e-41,1.14166759622e-40,-2.1306888286e-18,-6.7e-15,-1.9242400000000002e-59,-2.1306888286e-18,3.5912e-37,1.7950000000000001e-34,-3.35e-12,-1.065e-15,5.7083379811e-38,-9.6212e-57,-3.05868e-60,5.7084e-38
datasheet_39.pdf,0.395090114,39.69111487,-3.33e-30,1.11e-59,-2.6600000000000003e-27,1575.384599623535,1.11e-59,409600000000.0,1008246144.0130856,1.7423999999999997e-56,4.40571375057e-58,-1.055783655542e-25,-2.1312000000000002e-24,-3.6963e-89,-1.0573713002699998e-25,8.857800000000002e-57,7.103999999999999e-54,-1.7023999999999998e-21,-8.448e-23,3.5245710009e-55,-2.9526000000000004e-86,-1.4652e-87,3.5112e-55
datasheet_44.pdf,0.724399974,78.84375503,-2e-07,4e-14,-0.00042,6216.33770723065,4e-14,19448100000000.0,27414049301.13949,2.4964000000000003e-10,3.1537502012e-12,-0.0331143771126,-0.882,-8e-21,-0.03311437712,8.4e-11,1.764e-07,-1852.2,-69.67800000000001,6.622875424e-09,-1.68e-17,-6.320000000000002e-19,6.6360000000000015e-09
datasheet_45.pdf,0.548,333.4717907,-4.71e-09,2.22e-17,-7.63e-06,111203.4351926646,2.22e-17,6887475360000.0,291842295282.8938,2.4649e-12,7.40307375354e-15,-0.002544389763041,-0.0123609239999999,-1.04562e-25,-0.0025444564572389,3.5937299999999996e-14,5.826168e-11,-20.024172,-4.120308,1.1992979479980001e-11,-1.69386e-22,-3.4854e-23,1.19791e-11
datasheet_46.pdf,0.18,38.6,-1.32e-06,1.74e-12,-0.001716,1489.96,1.74e-12,2856100000000.0,2518032400.0,2.601e-09,6.7164e-11,-0.0662376,-2.2308,-2.2968000000000004e-18,-0.0662376,2.26512e-09,2.9406000000000003e-06,-2900.04,-86.19,8.73132e-08,-2.9858400000000004e-15,-8.874e-17,8.7516e-08
datasheet_47.pdf,1.02,0.000487,-4e-09,1.6e-17,-8.6e-06,2.3716900000000002e-07,1.6e-17,21367506250000.0,1.0963137025,3.8025e-24,7.792000000000001e-21,-4.188200000000001e-09,-0.01849,-6.400000000000001e-26,-4.1882e-09,3.4400000000000004e-14,7.396000000000001e-11,-39.7535,-9.013875e-06,1.6752800000000002e-17,-1.3759999999999999e-22,-3.12e-29,1.6770000000000002e-17
datasheet_48.pdf,0.605,23.8500346,-3.4099999999999998e-40,1.16e-79,-6.99e-37,568.8241504211971,1.16e-79,17661006250000.0,2390483492.145081,6.60969e-77,2.7666040136000006e-78,-1.66711741854e-35,-1.4330524999999998e-33,-3.9556e-119,-1.667236668713e-35,2.3835900000000002e-76,4.8749000000000003e-73,-2.9375475000000002e-30,-3.4166325000000004e-32,5.671538227880002e-75,-8.108400000000001e-116,-9.430800000000002e-118,5.68287e-75
datasheet_49.pdf,0.916095363,196.7137931,-1.11e-06,1.23e-12,-0.002775,38696.31639578961,1.23e-12,39062500000000.0,241851977522.8635,4.7677595904e-08,2.41957965513e-10,-0.5458807758525,-6.9375,-1.3653e-18,-0.545880775908,3.08025e-09,7.6875e-06,-17343.75,-1364.7,6.04894913844e-07,-3.41325e-15,-2.6857296e-16,6.059268e-07
datasheet_54.pdf,0.0512,11.2583892,-4.32e-25,1.8700000000000002e-49,-4.75e-22,126.75132737867663,1.8700000000000002e-49,1464100000000.0,153369106.12819874,2.3619599999999996e-47,2.1053187804e-48,-5.34773487e-21,-5.227200000000001e-19,-8.0784e-74,-5.34998654784e-21,2.052e-46,2.2627000000000004e-43,-5.747499999999999e-16,-5.880599999999999e-18,2.3158506584400006e-45,-8.882500000000001e-71,-9.0882e-73,2.3085e-45
datasheet_57.pdf,2.51e-16,146.720064,-1.48e-06,2.19e-12,-0.002812,21526.7771801641,2.19e-12,13032100000000.0,77711665620.3924,4.715238531600001e-08,3.2131694016000005e-10,-0.412576819968,-5.3428,-3.2412e-18,-0.412576819968,4.16176e-09,7.9059e-06,-10151.32,-783.89706,6.10502186304e-07,-6.15828e-15,-4.755497400000002e-16,6.10614552e-07
datasheet_58.pdf,1.36,72.80574677,-1.39e-06,1.93e-12,-0.003753,5300.676762737366,1.93e-12,53144100000000.0,38641933608.611565,1.0241439999999998e-08,1.405150912661e-10,-0.27323996762781,-10.1331,-2.6827e-18,-0.273239967657,5.2166699999999995e-09,1.40697e-05,-27359.37,-737.7479999999999,3.79390746459e-07,-7.24329e-15,-1.95316e-16,3.798036e-07
datasheet_59.pdf,0.498,89.92764152,-2.23e-06,4.97e-12,-0.005575,8086.980709349626,4.97e-12,39062500000000.0,50543629433.43518,4.0215890521000006e-08,4.4694037835439996e-10,-0.501346601474,-13.937499999999998,-1.10831e-17,-0.501346601474,1.243225e-08,3.10625e-05,-34843.75,-1253.36875,1.117350945886e-06,-2.770775e-14,-9.9667883e-16,1.118004925e-06
