#SMILES,BF3_Affinity,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nBridgehead,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,HybRatio,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,nHRing,n5HRing,n6HRing,n7HRing,naRing,n5aRing,n6aRing,naHRing,n5aHRing,n6aHRing,nARing,n3ARing,n4ARing,n5ARing,n6ARing,n7ARing,nAHRing,n5AHRing,n6AHRing,n7AHRing,nFRing,n7FRing,n8FRing,n9FRing,n10FRing,n11FRing,nG12FRing,nFHRing,n8FHRing,n11FHRing,nFARing,n7FARing,n8FARing,n9FARing,n10FARing,n11FARing,nG12FARing,nFAHRing,n8FAHRing,n11FAHRing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW
COC(=O)C1CC1,74.96,0,0,0,15,7,0,8,5,0,2,0,0,0,0,0,0,0,15,7,14,1,0,0,1,14,1,0,0,1,0,0,0,2,1,0,0.8,9,8.335442511,8.596909424,15.21267298,14.6,14.84,9.154697006,17.07993073,0.6,0.555696167,0.573127295,1.014178199,0.973333333,0.989333333,0.610313134,1.138662049,7.02,0.2,2,0,15.288344,10.629656,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.142857143,0.5694,24.74,97.62392107,100.0524295,6.670161966
O=C1CCCO1,75.13,0,0,0,12,6,0,6,4,0,2,0,0,0,0,0,0,0,12,6,11,1,0,0,1,11,1,0,0,1,0,0,1,2,0,0,0.75,7.666666667,7.16759637,7.05508162,12.32483613,11.8745098,12.08,7.356142515,13.66464108,0.638888889,0.597299697,0.587923468,1.027069677,0.989542484,1.006666667,0.613011876,1.13872009,6.02,0.416666667,2,0,12.284758,8.623242,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3234,20.193,80.32793585,86.03677943,7.169731619
CCOC(=O)C,75.55,0,0,0,14,6,0,8,4,0,2,0,0,0,0,0,0,0,13,5,12,1,0,0,1,12,1,0,0,1,0,0,3,0,0,0,0.75,8,7.335442511,7.596909424,14.21267298,13.6,13.84,8.154697006,16.07993073,0.571428571,0.523960179,0.542636387,1.015190927,0.971428571,0.988571429,0.582478358,1.148566481,5.02,0,2,0,13.618344,10.629656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.5694,22.307,92.6843948,88.0524295,6.28945925
CN(C)C(=O)C(Cl)(Cl)Cl,55.74,0,0,0,15,9,0,6,4,1,1,0,0,0,3,0,0,3,14,8,13,1,0,0,1,13,1,0,0,1,0,0,1,0,0,0,0.75,16,15.85613188,10.37081376,15.95375091,15.43529412,15.304,11.45075329,17.20086481,1.066666667,1.057075459,0.691387584,1.063583394,1.029019608,1.020266667,0.763383553,1.146724321,8.05,0,1,0,19.122758,10.127242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4448,38.984,140.5241325,188.9514969,12.59676646
CN(C)C(=O)C(F)(F)F,61.59,0,0,0,15,9,0,6,4,1,1,0,0,3,0,0,0,3,14,8,13,1,0,0,1,13,1,0,0,1,0,0,1,0,0,0,0.75,12,11.74699938,9.037910035,16.52731245,16.4,16.828,8.535184431,18.38782342,0.8,0.783133292,0.602527336,1.10182083,1.093333333,1.121866667,0.569012295,1.225854894,8.05,0,1,0,14.253758,11.936242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6369,24.749,113.0936053,141.0401485,9.402676565
CN(C)C(=O)Cl,72.2,0,0,0,12,6,0,6,3,1,1,0,0,0,1,0,0,1,11,5,10,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0.666666667,9.333333333,8.953209558,7.189101974,12.4227968,11.95686275,12.04,7.83997485,13.89761711,0.777777778,0.746100796,0.599091831,1.035233066,0.996405229,1.003333333,0.653331238,1.15813476,5.03,0,1,0,13.092758,9.107242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9068,24.936,92.80601125,107.0137915,8.917815958
CN(C)C(=O)C#N,74,0,0,0,13,7,0,6,4,2,1,0,0,0,0,0,0,0,12,6,10,1,1,0,2,10,1,1,0,1,0,0,0,0,0,0,0.666666667,8.666666667,8.167929398,7.856209648,13.32046613,12.90980392,13.136,8.193268263,15.03673153,0.666666667,0.628302261,0.604323819,1.024651241,0.99306184,1.010461538,0.630251405,1.156671656,6.03,0,2,0,13.682758,9.167242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.40182,24.307,100.6147711,98.04801281,7.542154832
CN(C)C(=O)OC,81.36,0,0,0,16,7,0,9,4,1,2,0,0,0,0,0,0,0,15,6,14,1,0,0,1,14,1,0,0,0,0,0,0,0,0,0,0.75,9.333333333,8.585546582,8.625786892,16.3197378,15.65490196,15.948,9.212656886,18.57831381,0.583333333,0.536596661,0.539111681,1.019983613,0.978431373,0.99675,0.575791055,1.161144613,6.03,0,2,0,15.385137,13.342863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3144,26.092,103.6811554,103.0633285,6.441458033
CCOC(=O)N(C)C,84.16,0,0,0,19,8,0,11,5,1,2,0,0,0,0,0,0,0,18,7,17,1,0,0,1,17,1,0,0,0,0,0,2,0,0,0,0.8,10.66666667,9.753392723,10.1676147,19.20757465,18.38039216,18.708,11.01121138,21.99360346,0.561403509,0.513336459,0.535137616,1.010924982,0.967389061,0.984631579,0.579537441,1.157558077,7.03,0,2,0,18.388723,15.349277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.142857143,0.7045,30.709,120.9771406,117.0789786,6.162051505
C1=CC=C(C=C1)N(C=O)C2=CC=CC=C2,92.45,0,12,12,26,15,0,11,13,1,1,0,0,0,0,0,0,0,27,16,14,1,0,12,13,20,7,0,0,0,12,0,0,0,0,0,0,17.33333333,16.42136375,17.45281559,25.87691187,25.03137255,25.308,18.53097186,28.78421738,0.666666667,0.631590913,0.671262138,0.995265841,0.962745098,0.973384615,0.712729687,1.107085284,46.02,0.5,1,0,30.946723,13.613277,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1875,2.9811,61.087,188.2231239,197.084064,7.580156307
CN(C)C(=O)C(C)(C)C,92.73,0,0,0,24,9,0,15,7,1,1,0,0,0,0,0,0,0,23,8,22,1,0,0,1,22,1,0,0,1,0,0,3,0,0,1,0.857142857,12,10.75705603,12.5364712,23.65258558,22.48235294,22.828,14.12808084,27.61479668,0.5,0.448210668,0.522352967,0.985524399,0.936764706,0.951166667,0.588670035,1.150616528,8.02,0,1,0,23.593895,17.626105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1207,38.149,146.7788841,129.1153641,5.379806837
CN(C)C(=O)C1=CC=C(C=C1)[N+](=O)[O-],94.2,0,6,6,24,14,0,10,9,2,3,0,0,0,0,0,0,0,24,14,16,2,0,6,8,19,5,0,0,1,5,1,0,0,0,0,0.222222222,17,16.16767963,15.36946346,24.7574654,24.05882353,24.456,15.75085629,27.28608296,0.708333333,0.673653318,0.640394311,1.031561059,1.00245098,1.019,0.656285679,1.136920124,14.05,0.25,3,0,26.30393,13.77607,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.142857143,1.2966,51.1139,176.1457743,194.0691422,8.086214258
