#LB_label,#LA_label,#ID,ChargeTransfer,N#R,R-N(-R)-R,R--N--R,R-N=R,R-NH-R,NH2-R,NH3,O=R,S=R,R-S-R,R--S--R,nN(CO)2,C-041,nH,la_MW,la_AMW,la_Mv,la_Me,la_Mp,la_Ms,la_nAT,la_nSK,la_nBT,la_nBO,la_nBM,la_SCBO,la_ARR,la_RBF,la_nAB,la_nH,la_nC,la_nF,la_nCL,la_nB,la_nHM,la_nX,la_nBnz,la_nHAcc,la_C-026,la_H-050,la_F-084,la_Ui,la_Hy,la_MLOGP,la_LAI
6,9,C5H5NO2S:BBr3,-0.00204,0,1,0,0,0,0,0,2,0,1,0,1,1,5,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
7,1,C5H5NOS2:AlCl3,-0.10176,0,1,0,0,0,0,0,1,1,1,0,1,1,5,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
7,2,C5H5NOS2:AlH3,-0.05672,0,1,0,0,0,0,0,1,1,1,0,1,1,5,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
7,3,C5H5NOS2:C18F15Al,-0.09608,0,1,0,0,0,0,0,1,1,1,0,1,1,5,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
7,4,C5H5NOS2:C3H9Al,-0.00936,0,1,0,0,0,0,0,1,1,1,0,1,1,5,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
7,5,C5H5NOS2:C2H5AlCl2,-0.07284,0,1,0,0,0,0,0,1,1,1,0,1,1,5,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
7,6,C5H5NOS2:BH3,-0.1985,0,1,0,0,0,0,0,1,1,1,0,1,1,5,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
7,7,C5H5NOS2:BF3,0.00168,0,1,0,0,0,0,0,1,1,1,0,1,1,5,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
7,8,C5H5NOS2:BCl3,-0.00552,0,1,0,0,0,0,0,1,1,1,0,1,1,5,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
7,9,C5H5NOS2:BBr3,-0.00546,0,1,0,0,0,0,0,1,1,1,0,1,1,5,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
