#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_15,1660,3.8,4.35,1660,3,1660,51.2195122,1525.083612
datasheet_15,1660,3.8,4.35,1660,3,1660,57.97373358,1518.394649
datasheet_15,1660,3.8,4.35,1660,3,1660,63.60225141,1511.705686
datasheet_15,1660,3.8,4.35,1660,3,1660,69.23076923,1505.016722
datasheet_15,1660,3.8,4.35,1660,3,1660,75.42213884,1498.327759
datasheet_15,1660,3.8,4.35,1660,3,1660,85.55347092,1491.638796
datasheet_15,1660,3.8,4.35,1660,3,1660,95.684803,1484.949833
datasheet_15,1660,3.8,4.35,1660,3,1660,108.630394,1478.26087
datasheet_15,1660,3.8,4.35,1660,3,1660,124.3902439,1471.571906
datasheet_15,1660,3.8,4.35,1660,3,1660,146.3414634,1464.882943
datasheet_15,1660,3.8,4.35,1660,3,1660,164.9155722,1458.19398
datasheet_15,1660,3.8,4.35,1660,3,1660,184.0525328,1451.505017
datasheet_15,1660,3.8,4.35,1660,3,1660,203.7523452,1444.816054
datasheet_15,1660,3.8,4.35,1660,3,1660,224.0150094,1438.12709
datasheet_15,1660,3.8,4.35,1660,3,1660,244.8405253,1431.438127
datasheet_15,1660,3.8,4.35,1660,3,1660,264.5403377,1424.749164
datasheet_15,1660,3.8,4.35,1660,3,1660,284.8030019,1418.060201
datasheet_15,1660,3.8,4.35,1660,3,1660,307.879925,1411.371237
datasheet_15,1660,3.8,4.35,1660,3,1660,337.1482176,1404.682274
datasheet_15,1660,3.8,4.35,1660,3,1660,367.5422139,1397.993311
datasheet_15,1660,3.8,4.35,1660,3,1660,394.5590994,1391.304348
datasheet_15,1660,3.8,4.35,1660,3,1660,422.1388368,1384.615385
datasheet_15,1660,3.8,4.35,1660,3,1660,448.0300188,1377.926421
datasheet_15,1660,3.8,4.35,1660,3,1660,473.9212008,1371.237458
datasheet_15,1660,3.8,4.35,1660,3,1660,493.6210131,1364.548495
datasheet_16,1660,3.7,4.2,1660,2.75,1660,2.97029703,1651.515152
datasheet_16,1660,3.7,4.2,1660,2.75,1660,4.243281471,1646.464646
datasheet_16,1660,3.7,4.2,1660,2.75,1660,5.091937765,1641.414141
datasheet_16,1660,3.7,4.2,1660,2.75,1660,5.940594059,1636.363636
datasheet_16,1660,3.7,4.2,1660,2.75,1660,6.789250354,1631.313131
datasheet_16,1660,3.7,4.2,1660,2.75,1660,8.062234795,1626.262626
datasheet_16,1660,3.7,4.2,1660,2.75,1660,9.759547383,1621.212121
datasheet_16,1660,3.7,4.2,1660,2.75,1660,11.88118812,1616.161616
datasheet_16,1660,3.7,4.2,1660,2.75,1660,13.15417256,1611.111111
datasheet_16,1660,3.7,4.2,1660,2.75,1660,14.427157,1606.060606
datasheet_16,1660,3.7,4.2,1660,2.75,1660,15.2758133,1601.010101
datasheet_16,1660,3.7,4.2,1660,2.75,1660,16.54879774,1595.959596
datasheet_16,1660,3.7,4.2,1660,2.75,1660,19.09476662,1590.909091
datasheet_16,1660,3.7,4.2,1660,2.75,1660,21.6407355,1585.858586
datasheet_16,1660,3.7,4.2,1660,2.75,1660,23.33804809,1580.808081
datasheet_16,1660,3.7,4.2,1660,2.75,1660,25.88401697,1575.757576
datasheet_16,1660,3.7,4.2,1660,2.75,1660,29.27864215,1570.707071
datasheet_16,1660,3.7,4.2,1660,2.75,1660,31.82461103,1565.656566
datasheet_16,1660,3.7,4.2,1660,2.75,1660,35.21923621,1560.606061
datasheet_16,1660,3.7,4.2,1660,2.75,1660,38.61386139,1555.555556
datasheet_16,1660,3.7,4.2,1660,2.75,1660,40.73550212,1550.505051
datasheet_16,1660,3.7,4.2,1660,2.75,1660,44.55445545,1545.454545
datasheet_16,1660,3.7,4.2,1660,2.75,1660,47.94908062,1540.40404
datasheet_16,1660,3.7,4.2,1660,2.75,1660,56.14187792,1535.353535
datasheet_16,1660,3.7,4.2,1660,2.75,1660,70.43847242,1530.30303
datasheet_16,1660,3.7,4.2,1660,2.75,1660,76.37906648,1525.252525
datasheet_16,1660,3.7,4.2,1660,2.75,1660,84.86562942,1520.20202
datasheet_16,1660,3.7,4.2,1660,2.75,1660,93.35219236,1515.151515
datasheet_16,1660,3.7,4.2,1660,2.75,1660,98.86845827,1510.10101
datasheet_16,1660,3.7,4.2,1660,2.75,1660,106.5063649,1505.050505
datasheet_16,1660,3.7,4.2,1660,2.75,1660,115.417256,1500
datasheet_16,1660,3.7,4.2,1660,2.75,1660,125.1768034,1494.949495
datasheet_16,1660,3.7,4.2,1660,2.75,1660,132.3903819,1489.89899
datasheet_16,1660,3.7,4.2,1660,2.75,1660,142.5742574,1484.848485
datasheet_16,1660,3.7,4.2,1660,2.75,1660,151.4851485,1479.79798
datasheet_16,1660,3.7,4.2,1660,2.75,1660,159.1230552,1474.747475
datasheet_16,1660,3.7,4.2,1660,2.75,1660,166.7609618,1469.69697
datasheet_16,1660,3.7,4.2,1660,2.75,1660,175.2475248,1464.646465
datasheet_16,1660,3.7,4.2,1660,2.75,1660,183.3097595,1459.59596
datasheet_16,1660,3.7,4.2,1660,2.75,1660,190.0990099,1454.545455
datasheet_16,1660,3.7,4.2,1660,2.75,1660,197.3125884,1449.494949
datasheet_16,1660,3.7,4.2,1660,2.75,1660,208.3451202,1444.444444
datasheet_16,1660,3.7,4.2,1660,2.75,1660,221.0749646,1439.393939
datasheet_16,1660,3.7,4.2,1660,2.75,1660,235.0777935,1434.343434
datasheet_16,1660,3.7,4.2,1660,2.75,1660,246.5346535,1429.292929
datasheet_16,1660,3.7,4.2,1660,2.75,1660,259.2644979,1424.242424
