#PDF_File,f,Discharge_Current,a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_Discharge_Current_Discharge_Current_Discharge_Current,a_a_a_a,Discharge_Current_a_Discharge_Current_a,Discharge_Current_a,Discharge_Current_Discharge_Current_Discharge_Current,Discharge_Current_a_a,Discharge_Current_Discharge_Current_a,a_Discharge_Current_Discharge_Current,a_a_a,a_Discharge_Current_a,Discharge_Current_Discharge_Current_a_a,Discharge_Current_Discharge_Current_Discharge_Current_a,a_a_Discharge_Current_a
datasheet_19,-1.25e-06,1.0,113.8878384,1.0,12970.439735424516,113.8878384,1.0,12970.439735424516,1.0,168232306.93027917,12970.439735424516,113.8878384,1.0,12970.439735424516,113.8878384,113.8878384,1477175.3445649662,12970.439735424516,12970.439735424516,113.8878384,1477175.3445649662
datasheet_2,-3.28e-19,1.0,321.951558,1.0,103652.80569862734,321.951558,1.0,103652.80569862734,1.0,10743904129.197393,103652.80569862734,321.951558,1.0,103652.80569862734,321.951558,321.951558,33371182.28574435,103652.80569862734,103652.80569862734,321.951558,33371182.28574435
datasheet_20,-1.6600000000000001e-21,1.0,133.8836152,1.0,17924.82241902167,133.8836152,1.0,17924.82241902167,1.0,321299258.75346196,17924.82241902167,133.8836152,1.0,17924.82241902167,133.8836152,133.8836152,2399840.027276631,17924.82241902167,17924.82241902167,133.8836152,2399840.027276631
datasheet_21,-3.42e-08,1.0,110.5642123,1.0,12224.44504151947,110.5642123,1.0,12224.44504151947,1.0,149437056.57312995,12224.44504151947,110.5642123,1.0,12224.44504151947,110.5642123,110.5642123,1351586.1368202409,12224.44504151947,12224.44504151947,110.5642123,1351586.1368202409
datasheet_22,-1.39e-25,1.0,67.8478602,1.0,4603.3321337187435,67.8478602,1.0,4603.3321337187435,1.0,21190666.73332756,4603.3321337187435,67.8478602,1.0,4603.3321337187435,67.8478602,67.8478602,312326.235062717,4603.3321337187435,4603.3321337187435,67.8478602,312326.235062717
datasheet_24,-1.73e-24,1.0,85.65524687,1.0,7336.821316360644,85.65524687,1.0,7336.821316360644,1.0,53828947.028203934,7336.821316360644,85.65524687,1.0,7336.821316360644,85.65524687,85.65524687,628437.2410939493,7336.821316360644,7336.821316360644,85.65524687,628437.2410939493
datasheet_25,-1.23e-24,1.0,117.6009609,1.0,13829.98600460333,117.6009609,1.0,13829.98600460333,1.0,191268512.88752398,13829.98600460333,117.6009609,1.0,13829.98600460333,117.6009609,117.6009609,1626419.6433749036,13829.98600460333,13829.98600460333,117.6009609,1626419.6433749036
datasheet_26,-2.96e-27,1.0,125.6033296,1.0,15776.196406606236,125.6033296,1.0,15776.196406606236,1.0,248888373.0598155,15776.196406606236,125.6033296,1.0,15776.196406606236,125.6033296,125.6033296,1981542.7970932985,15776.196406606236,15776.196406606236,125.6033296,1981542.7970932985
datasheet_27,-3.65e-07,1.0,24.52817884,1.0,601.6315572070237,24.52817884,1.0,601.6315572070237,1.0,361960.53062734817,601.6315572070237,24.52817884,1.0,601.6315572070237,24.52817884,24.52817884,14756.926430961566,601.6315572070237,601.6315572070237,24.52817884,14756.926430961566
datasheet_28,-1.19e-24,1.0,54.28420374,1.0,2946.7747756858303,54.28420374,1.0,2946.7747756858303,1.0,8683481.578618275,2946.7747756858303,54.28420374,1.0,2946.7747756858303,54.28420374,54.28420374,159963.3222992224,2946.7747756858303,2946.7747756858303,54.28420374,159963.3222992224
