,Decriptor,FI_LR,FI_RIDGE,FI_RF,FI_GB
20,nH,-0.3664732069189915,-1.1026839970988171e-07,0.003327872040342685,0.006385881937316128
21,nC,-0.5773677263109923,-1.2910365448216165e-07,0.00320622017152866,0.002321066916360704
22,nN,-0.48248452350689996,-2.385479146701554e-08,0.0015015548432158643,0.0017502423379373952
23,nO,1.7877685813483206,-5.820125920089195e-09,0.008657963980099211,0.007537233234942714
24,nS,-0.024248145387374246,-6.09109563830259e-09,0.003093723673029334,0.002741097544744691
25,nF,-0.46130175715702826,-1.1485893484858125e-08,0.0007709479132161128,0.0010639784293245908
26,nCL,-0.15034078445362956,-7.268813129722996e-10,2.586479823300468e-05,1.7665000907654407e-06
27,nX,-0.611642541621241,-1.2212774797830425e-08,0.0007729597412444954,0.0005812531541670767
28,nR05,0.4706048365979816,-1.268754813563924e-08,0.003290392627489147,0.0035696554223324842
29,nR06,1.005350978831045,-1.4556608094154629e-08,0.0016089298945795368,0.0003377147377608577
30,nR08,1.3180680963709157,-1.4987661037776369e-09,0.00041528858742040885,4.5578510674623184e-05
31,nR09,1.4876190200310928,-5.982416442384325e-09,0.00113338418587368,0.0005485809609163015
32,nR10,0.2154067797122332,-4.257874533045594e-09,0.0005028164144889115,0.00011897714463262257
33,nR12,0.11778212717169885,-1.2307189364467221e-09,0.00034354983073569124,5.754386011040816e-05
34,nBnz,-0.64169642560757,-9.281576111085855e-09,0.0006588262467806385,0.0003494039316754537
35,nCp,1.580524381041835,-6.461702822423599e-09,0.000551468448036004,0.0009404081289875822
36,nCs,0.7876469173195926,-5.593546514455659e-09,0.0009437495231417123,0.0005315497423521506
37,nCt,0.14501894537941595,-7.273545490452319e-10,0.0005998269227524641,0.00015675397687020632
38,nCq,2.364095880167395,-4.922973830667374e-10,5.785991468772886e-05,1.0402334155015236e-07
39,nCrt,2.204351687789286,-6.185869558542413e-10,0.000594640106998251,0.001068157770228281
40,nCar,-1.2452512437617953,-7.608040816124167e-08,0.0020604887375189618,0.0012829136184213093
41,nCbH,-0.10322959456917213,-2.455057206151055e-08,0.0009518563825959691,0.0007062246531963168
42,nCb-,-0.10093407494077722,-2.878619577355258e-08,0.0007040645610233425,0.0005568743367751104
43,nCconj,-0.9547221262740646,-2.0056889719567475e-08,0.005331717916505122,0.001669055926258733
44,nR=Cp,-3.63347825849946,-4.058969297424773e-09,0.0024763837285931983,0.002442186087391925
45,nR=Cs,0.09437527768161638,-5.665743258273289e-09,0.0011724251538866284,0.00027143044394939246
46,nR=Ct,1.1712405142615883,-8.604300231074936e-09,0.002857262458259701,0.0015809948762528564
47,nRCONHR,1.1074709582927944,-1.09182274360657e-09,0.0011251399403660427,0.000564091370963282
48,nRCONR2,1.123986103100675,-1.302537035638134e-09,0.0020467405833591236,0.0004008099285014859
49,nROCON,-0.11112275044278618,-2.621191166252283e-10,0.0064871794057924665,0.017010823561185967
50,nRCO,0.46823703480589873,-8.354487640155029e-10,0.0003249922422301425,2.1350825786742905e-05
