#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
8,7,C5H3N3S:BF3,-0.2868,1,0,11.43,0,0,0,0.67,0,0,1,204.99,3,0.0,1.3,0,1,0
8,8,C5H3N3S:BCl3,-0.2963,1,0,11.43,0,0,0,1.36,0,0,1,254.34,3,0.0,1.16,0,1,0
8,9,C5H3N3S:BBr3,-0.269,1,0,11.43,0,0,0,1.73,0,0,1,387.69,3,0.0,1.09,0,1,0
8,10,C5H3N3S:C18BF15,-0.3492,1,0,11.43,0,0,0,0.72,0,0,1,649.17,3,-0.525,1.2,0,1,0
8,11,C5H3N3S:BI3,-0.19578,1,0,11.43,0,0,0,2.71,0,0,1,528.69,3,0.0,0.97,0,1,0
8,12,C5H3N3S:O2S,-0.10498,0,0,11.43,0,0,0,0.85,0,0,1,201.25,3,0.0,1.24,0,1,0
9,1,C16H10N2S2:AlCl3,-0.17646,0,0,9.81,0,1,0,1.89,0,0,8,427.75,10,0.0,1.1,0,8,0
9,2,C16H10N2S2:AlH3,-0.16576,0,0,9.81,0,1,0,1.25,3,0,8,324.43,10,0.0,0.86,0,8,0
9,3,C16H10N2S2:C18F15Al,-0.19932,0,0,9.81,0,1,0,0.78,0,0,8,822.58,10,-0.525,1.19,0,8,0
9,4,C16H10N2S2:C3H9Al,-0.14592,0,0,9.81,0,1,0,0.79,9,0,8,366.52,10,-0.646,0.93,0,8,0
9,5,C16H10N2S2:C2H5AlCl2,-0.16122,0,0,9.81,0,1,0,1.02,5,0,8,421.37,10,-0.359,0.99,0,8,0
9,6,C16H10N2S2:BH3,-0.30552,1,0,9.81,0,0,0,0.72,3,0,8,308.26,10,0.0,0.91,0,8,0
9,7,C16H10N2S2:BF3,-0.26482,1,0,9.81,0,0,0,0.67,0,0,8,362.23,10,0.0,1.3,0,8,0
9,8,C16H10N2S2:BCl3,-0.29402,1,0,9.81,0,0,0,1.36,0,0,8,411.58,10,0.0,1.16,0,8,0
9,9,C16H10N2S2:BBr3,-0.27312,1,0,9.81,0,0,0,1.73,0,0,8,544.93,10,0.0,1.09,0,8,0
9,10,C16H10N2S2:C18BF15,-0.34212,1,0,9.81,0,0,0,0.72,0,0,8,806.41,10,-0.525,1.2,0,8,0
9,11,C16H10N2S2:BI3,-0.21718,1,0,9.81,0,0,0,2.71,0,0,8,685.93,10,0.0,0.97,0,8,0
9,12,C16H10N2S2:O2S,-0.05022,0,0,9.81,0,0,0,0.85,0,0,8,358.49,10,0.0,1.24,0,8,0
10,1,C6H4N2S:AlCl3,-0.15454,0,0,10.48,0,1,0,1.89,0,0,4,269.52,4,0.0,1.1,0,4,0
10,2,C6H4N2S:AlH3,-0.14188,0,0,10.48,0,1,0,1.25,3,0,4,166.2,4,0.0,0.86,0,4,0
10,3,C6H4N2S:C18F15Al,-0.17022,0,0,10.48,0,1,0,0.78,0,0,4,664.35,4,-0.525,1.19,0,4,0
10,4,C6H4N2S:C3H9Al,-0.13012,0,0,10.48,0,1,0,0.79,9,0,4,208.29,4,-0.646,0.93,0,4,0
10,5,C6H4N2S:C2H5AlCl2,-0.1343,0,0,10.48,0,1,0,1.02,5,0,4,263.14,4,-0.359,0.99,0,4,0
10,6,C6H4N2S:BH3,-0.30032,1,0,10.48,0,0,0,0.72,3,0,4,150.03,4,0.0,0.91,0,4,0
10,7,C6H4N2S:BF3,-0.26152,1,0,10.48,0,0,0,0.67,0,0,4,204.0,4,0.0,1.3,0,4,0
10,8,C6H4N2S:BCl3,-0.29988,1,0,10.48,0,0,0,1.36,0,0,4,253.35,4,0.0,1.16,0,4,0
10,9,C6H4N2S:BBr3,-0.2709,1,0,10.48,0,0,0,1.73,0,0,4,386.7,4,0.0,1.09,0,4,0
10,10,C6H4N2S:C18BF15,-0.3734,1,0,10.48,0,0,0,0.72,0,0,4,648.18,4,-0.525,1.2,0,4,0
10,11,C6H4N2S:BI3,-0.17652,1,0,10.48,0,0,0,2.71,0,0,4,527.7,4,0.0,0.97,0,4,0
10,12,C6H4N2S:O2S,-0.03074,0,0,10.48,0,0,0,0.85,0,0,4,200.26,4,0.0,1.24,0,4,0
11,1,C6H3N2FS:AlCl3,-0.152,0,0,11.86,0,1,0,1.89,0,0,3,287.51,3,0.0,1.1,0,3,0
11,2,C6H3N2FS:AlH3,-0.13864,0,0,11.86,0,1,0,1.25,3,0,3,184.19,3,0.0,0.86,0,3,0
11,3,C6H3N2FS:C18F15Al,-0.16582,0,0,11.86,0,1,0,0.78,0,0,3,682.34,3,-0.525,1.19,0,3,0
11,4,C6H3N2FS:C3H9Al,-0.12724,0,0,11.86,0,1,0,0.79,9,0,3,226.28,3,-0.646,0.93,0,3,0
11,5,C6H3N2FS:C2H5AlCl2,-0.13144,0,0,11.86,0,1,0,1.02,5,0,3,281.13,3,-0.359,0.99,0,3,0
11,6,C6H3N2FS:BH3,-0.2967,1,0,11.86,0,0,0,0.72,3,0,3,168.02,3,0.0,0.91,0,3,0
11,7,C6H3N2FS:BF3,-0.2646,1,0,11.86,0,0,0,0.67,0,0,3,221.99,3,0.0,1.3,0,3,0
11,8,C6H3N2FS:BCl3,-0.29622,1,0,11.86,0,0,0,1.36,0,0,3,271.34,3,0.0,1.16,0,3,0
11,9,C6H3N2FS:BBr3,-0.2666,1,0,11.86,0,0,0,1.73,0,0,3,404.69,3,0.0,1.09,0,3,0
11,10,C6H3N2FS:C18BF15,-0.36924,1,0,11.86,0,0,0,0.72,0,0,3,666.17,3,-0.525,1.2,0,3,0
11,11,C6H3N2FS:BI3,-0.16242,1,0,11.86,0,0,0,2.71,0,0,3,545.69,3,0.0,0.97,0,3,0
11,12,C6H3N2FS:O2S,-0.02704,0,0,11.86,0,0,0,0.85,0,0,3,218.25,3,0.0,1.24,0,3,0
12,1,C6H2N2F2S:AlCl3,-0.14932,0,0,13.24,0,1,0,1.89,0,0,2,305.5,2,0.0,1.1,0,2,0
12,2,C6H2N2F2S:AlH3,-0.13678,0,0,13.24,0,1,0,1.25,3,0,2,202.18,2,0.0,0.86,0,2,0
12,3,C6H2N2F2S:C18F15Al,-0.1625,0,0,13.24,0,1,0,0.78,0,0,2,700.33,2,-0.525,1.19,0,2,0
12,4,C6H2N2F2S:C3H9Al,-0.12726,0,0,13.24,0,1,0,0.79,9,0,2,244.27,2,-0.646,0.93,0,2,0
12,5,C6H2N2F2S:C2H5AlCl2,-0.12934,0,0,13.24,0,1,0,1.02,5,0,2,299.12,2,-0.359,0.99,0,2,0
12,6,C6H2N2F2S:BH3,-0.29572,1,0,13.24,0,0,0,0.72,3,0,2,186.01,2,0.0,0.91,0,2,0
12,7,C6H2N2F2S:BF3,-0.26272,1,0,13.24,0,0,0,0.67,0,0,2,239.98,2,0.0,1.3,0,2,0
12,8,C6H2N2F2S:BCl3,-0.2944,1,0,13.24,0,0,0,1.36,0,0,2,289.33,2,0.0,1.16,0,2,0
12,9,C6H2N2F2S:BBr3,-0.26428,1,0,13.24,0,0,0,1.73,0,0,2,422.68,2,0.0,1.09,0,2,0
12,10,C6H2N2F2S:C18BF15,-0.37078,1,0,13.24,0,0,0,0.72,0,0,2,684.16,2,-0.525,1.2,0,2,0
12,11,C6H2N2F2S:BI3,-0.15226,1,0,13.24,0,0,0,2.71,0,0,2,563.68,2,0.0,0.97,0,2,0
12,12,C6H2N2F2S:O2S,-0.0247,0,0,13.24,0,0,0,0.85,0,0,2,236.24,2,0.0,1.24,0,2,0
13,1,C6H2N4S2:AlCl3,-0.1524,0,0,13.88,0,1,0,1.89,0,0,2,327.59,2,0.0,1.1,0,2,0
13,2,C6H2N4S2:AlH3,-0.13842,0,0,13.88,0,1,0,1.25,3,0,2,224.27,2,0.0,0.86,0,2,0
13,3,C6H2N4S2:C18F15Al,-0.16316,0,0,13.88,0,1,0,0.78,0,0,2,722.42,2,-0.525,1.19,0,2,0
