,Decriptor,FI_LR,FI_RIDGE,FI_RF,FI_GB
36,nBnz,-218240461397.7765,0.0032686260988176548,0.0009065760935315797,0.00017026204867079536
37,nCp,135731263899.50049,0.005535517233150444,0.0013710870383803005,0.0013837678505150353
38,nCs,324506847783.62134,0.016981973907355695,0.0009076608567635433,0.0029631479847202955
39,nCt,186534258770.08762,-0.0030977831488696876,0.0008503837224042456,0.0002773431030177886
40,nCq,-46501333982.92856,0.013130974527756785,3.9167610766786525e-05,4.801405738458062e-05
41,nCrs,187979545306.65903,0.016981973897814792,0.0007972784808222505,0.0011203096865764401
42,nCrt,-331863912034.2242,-0.02973634122646691,0.00038929973068771846,0.0017586833828048
43,nCrq,-163580869427.75522,0.013130974530248413,3.70645904279302e-07,0.00038718701439767006
44,nCar,-115241979425.56686,-0.015972446038374513,0.0013627389502389481,0.0011172188299727506
45,nCbH,175944698695.23364,-0.00736258620964066,0.001146227962651256,0.00036765638109877407
46,nCb-,123496568681.89693,0.005381545509230144,0.000658647856362242,0.0025458837563578232
47,nCconj,49252689252.54727,0.010386760615927158,0.0046602100143575695,0.0036071082573972627
48,nR=Cp,11625762743.012466,0.014906606584728671,0.0016833037836790727,0.0006695316839038039
49,nR=Cs,-138810979240.19437,-0.029195400908069477,0.0012019263749771395,0.0004676512309714442
50,nR=Ct,499251595244.607,-0.0050127720557229475,0.0018849312020266231,0.00023881389302954606
51,nRCONHR,-115263795728.96223,-0.010646923191701674,0.0009443308353264629,0.00030303043529428014
52,nRCONR2,-230527591457.88306,0.003783239482141912,0.001959601034901656,0.0007434007344768611
53,nROCON,605543311927.3777,0.009494499838077387,0.0067034564218714345,0.006780099391894376
54,nRCO,-3203449968.2778625,-0.017035329657178515,0.00018535136194437768,3.488919160207138e-05
55,nArCO,103256061545.5152,0.008254757262206435,9.878757502201091e-05,5.085230430541723e-06
56,nCONN,117317775035.87189,-0.01725316693588245,0.001314814963716236,0.0007292400605165193
57,nArNH2,163963879379.0653,0.02917209231102119,0.000455657874047849,1.6958379239245512e-05
58,nRNHR,139570599008.0168,-0.04205677534583395,0.00023358955347363048,0.00016592728967536094
59,nRNR2,43486041582.09591,-0.030134389230551017,0.0006260890728330382,0.0006494335352473631
60,nRCN,-1029625776696.3479,-0.005359621763357098,0.001806179473779823,0.001098059559291766
61,nN(CO)2,0.16411590576171875,0.07780432589486586,0.013663188847229132,0.06299620182185627
62,nRSR,446448557038.54456,0.03892339346055921,0.00033004325624881863,0.00036135690467696557
63,nArX,671049489839.4506,0.004230397250865179,0.0010299753904834106,0.005019552007741919
64,nCXr=,527772650966.0426,-0.009064300797241399,0.0003960457044179444,0.0009214756212549361
65,nCconjX,522539304219.5997,-0.024422639617177656,0.00012112906566170781,0.00013988547491832046
66,nPyrrolidines,-70582090934.26411,-0.0262019479227216,0.00013810867271910523,8.742759706475659e-05
67,nPyrroles,205208399040.54953,0.02529191236307362,0.002924556990905244,0.003781398266755715
68,nThiophenes,544681030878.2057,-0.010270670037842518,0.0006523086303033644,6.741260320004346e-05
69,nPyridines,145626153901.70605,-0.020755587346616273,0.0002880275237066152,8.170098531577313e-05
70,nPyrazines,116681100937.83842,0.0037833236588867966,0.0001806837987142932,5.020597800193119e-05
71,nHDon,-167555138287.24432,0.033789941132832325,0.0023417478620437818,0.001298057604941969
72,nHAcc,439183426770.94745,0.012403151165662934,0.0053522215181765805,0.004256638170068051
73,C-001,-248556570055.6181,0.004434774299539888,0.0009455684079667628,0.0002945883895835354
74,C-002,-236095362191.83777,-0.012911062447495488,0.0007937414445345601,6.631351779524575e-05
75,C-003,232212392387.63425,-0.0030977831573370256,0.0008059968699728759,0.00020354067528837268
76,C-004,316575046446.57263,0.013130974531671245,1.9997721741363345e-05,0.0008835458234551925
77,C-005,-421015255186.6266,-0.01007858154484995,0.003226118649999611,0.0014117209423528286
78,C-006,-168405814949.99762,-0.008755658748445218,0.0004094906868094061,0.00014969054319502077
79,C-008,-134594416764.13367,0.029893036357055407,0.0002969491079467219,2.0048832086178573e-05
80,C-015,-282995086295.82983,0.01490660659427415,0.0021060618332139273,0.00021169064934261532
81,C-016,379029108492.8336,-0.015142126982939961,0.0005806284788647484,5.951098354504376e-05
82,C-017,478329241253.39496,-0.005012772062723207,0.0020082306357758553,0.0006143782850877651
83,C-018,-305341661449.9101,-0.04658401038000369,4.388836116733479e-05,7.52848221061129e-06
84,C-019,-23371665578.703903,-0.01405327391722754,0.000866778025601135,5.273732039973357e-05
85,C-020,61405962702.82141,0.015358338826317059,0.00048535168383463244,0.00013642967102159474
86,C-024,127327407998.82697,-0.0018481263938811329,0.001659806706441413,0.00042882308661209163
87,C-025,427638606299.1211,-0.003381015049055247,0.001519710296015699,0.0007946861833526987
88,C-026,17271292567.39791,-0.029036722939779134,0.0007006410865731011,0.0010027553212212756
89,C-027,16981967376.693207,-0.01504341969616778,0.0008188405108069473,0.0002776897656287048
90,C-028,33963934739.578705,0.04377012348217855,0.0010691202043925272,0.0003971114180411024
91,C-033,-95041169903.50868,-0.00931939735125182,0.000870477070770165,0.0009508044414667394
92,C-034,218117374118.86337,0.006352128936850932,0.0006190405882462288,0.0013049506760055526
93,C-035,128429615393.13907,0.03300975304876506,0.0052700725578954,0.0057592986065067835
94,C-038,-71394268084.09718,-0.017035329656087277,0.00016406448679800063,8.741912030098105e-05
95,C-039,5262870310.64209,0.008254757266226997,9.585562865726554e-05,6.0186588058562975e-05
